"id","code","name","xendit_code","created_at","updated_at"
"0001fe08-0d20-4269-9cc0-1f019a5021c2","MEGA_SYR","Bank Syariah Mega","MEGA_SYR","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002052d-ae38-4e40-87a5-9d93edae01cc","BTN_UUS","Bank Tabungan Negara (BTN) UUS","BTN_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000207fb-14d4-47ac-8a86-d885b605aeac","TABUNGAN_PENSIUNAN_NASIONAL","Bank Tabungan Pensiunan Nasional","TABUNGAN_PENSIUNAN_NASIONAL","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00020bf5-3fbe-40d6-8adc-5987e52725e1","UOB","Bank UOB Indonesia","UOB","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002197d-3325-4e9d-84b7-874e360b5b55","VICTORIA_SYR","Bank Victoria Syariah","VICTORIA_SYR","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00022097-2e6d-4783-b08f-7c371dae6d83","BANGKOK","Bangkok Bank","BANGKOK","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002258c-663d-4a57-a665-6ffb96ab6adc","YUDHA_BHAKTI","Bank Yudha Bhakti","YUDHA_BHAKTI","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00023b67-7ed1-4a41-81ce-008c13b19057","ACEH","BPD Aceh","ACEH","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002458f-b250-4419-aca1-814884f777ce","ACEH_UUS","BPD Aceh UUS","ACEH_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000247c7-a56f-40a6-92f6-999b45d4e3a8","BALI","BPD Bali","BALI","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00024a78-ea44-4c3b-8dad-5805c6c96e4c","BANTEN","BPD Banten (formerly Bank Pundi Indonesia)","BANTEN","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000253cb-96f8-4942-808a-5d622d72d281","BENGKULU","BPD Bengkulu","BENGKULU","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00026753-6c4b-4f65-9313-0fc9ea611428","DAERAH_ISTIMEWA","BPD Daerah Istimewa Yogyakarta (DIY)","DAERAH_ISTIMEWA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002721d-96d2-42d3-b9b7-c816f73ff763","JAMBI","BPD Jambi","JAMBI","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0002754f-ef4d-46aa-9f0d-17911642ad5c","JAMBI_UUS","BPD Jambi UUS","JAMBI_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000276b1-2bcb-49fd-b6e8-73c8826d142e","JAWA_TENGAH","BPD Jawa Tengah","JAWA_TENGAH","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00027813-dfed-42da-ac8f-9e146abaef0d","JAWA_TENGAH_UUS","BPD Jawa Tengah UUS","JAWA_TENGAH_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
